  Month,Miðlína,VVG
2001-03,100,"108,3"
2001-04,100,"103,9"
2001-05,100,"88,1"
2001-06,100,"80,2"
2001-07,100,"78,7"
2001-08,100,"82,1"
2001-09,100,"79,5"
2001-10,100,"66,8"
2001-11,100,"61,8"
2001-12,100,"74,4"
2002-01,100,"85,6"
2002-02,100,"102,4"
2002-03,100,"101,8"
2002-04,100,"100,1"
2002-05,100,"110,9"
2002-06,100,"109,0"
2002-07,100,"104,4"
2002-08,100,"108,7"
2002-09,100,"113,5"
2002-10,100,"101,0"
2002-11,100,"107,0"
2002-12,100,"98,8"
2003-01,100,"103,1"
2003-02,100,"106,6"
2003-03,100,"115,8"
2003-04,100,"125,8"
2003-05,100,"136,8"
2003-06,100,"117,9"
2003-07,100,"112,6"
2003-08,100,"115,3"
2003-09,100,"116,8"
2003-10,100,"125,1"
2003-11,100,"121,0"
2003-12,100,"104,2"
2004-01,100,"123,7"
2004-02,100,"127,5"
2004-03,100,"132,9"
2004-04,100,"120,6"
2004-05,100,"110,5"
2004-06,100,"104,7"
2004-07,100,"113,7"
2004-08,100,"120,7"
2004-09,100,"129,4"
2004-10,100,"116,6"
2004-11,100,"111,7"
2004-12,100,"111,0"
2005-01,100,"128,9"
2005-02,100,"121,2"
2005-03,100,"127,6"
2005-04,100,"125,4"
2005-05,100,"125,6"
2005-06,100,"116,3"
2005-07,100,"128,7"
2005-08,100,"134,2"
2005-09,100,"123,4"
2005-10,100,"112,3"
2005-11,100,"122,7"
2005-12,100,"128,2"
2006-01,100,"126,5"
2006-02,100,"137,6"
2006-03,100,"127,7"
2006-04,100,"103,3"
2006-05,100,"96,1"
2006-06,100,"100,8"
2006-07,100,"88,1"
2006-08,100,"108,0"
2006-09,100,"119,6"
2006-10,100,"136,2"
2006-11,100,"118,6"
2006-12,100,"139,1"
2007-01,100,"128,6"
2007-02,100,"150,0"
2007-03,100,"144,0"
2007-04,100,"139,8"
2007-05,100,"154,9"
2007-06,100,"144,9"
2007-07,100,"124,7"
2007-08,100,"126,3"
2007-09,100,"123,7"
2007-10,100,"133,7"
2007-11,100,"116,2"
2007-12,100,"117,5"
2008-01,100,"116,0"
2008-02,100,"102,2"
2008-03,100,"87,2"
2008-04,100,"96,6"
2008-05,100,"82,9"
2008-06,100,"67,9"
2008-07,100,"61,4"
2008-08,100,"74,1"
2008-09,100,"76,2"
2008-10,100,"59,0"
2008-11,100,"23,2"
2008-12,100,"25,3"
2009-01,100,"19,5"
2009-02,100,"24,3"
2009-03,100,"37,8"
2009-04,100,"39,0"
2009-05,100,"29,9"
2009-06,100,"26,4"
2009-07,100,"20,9"
2009-08,100,"24,9"
2009-09,100,"33,5"
2009-10,100,"47,9"
2009-11,100,"44,3"
2009-12,100,"34,0"
2010-01,100,"37,1"
2010-02,100,"46,3"
2010-03,100,"43,2"
2010-04,100,"54,7"
2010-05,100,"57,4"
2010-06,100,"61,2"
2010-07,100,"67,1"
2010-08,100,"69,9"
2010-09,100,"67,7"
2010-10,100,"32,0"
2010-11,100,"50,6"
2010-12,100,"48,3"
2011-01,100,"61,5"
2011-02,100,"59,9"
2011-03,100,"57,8"
2011-04,100,"55,5"
2011-05,100,"66,3"
2011-06,100,"65,4"
2011-07,100,"62,1"
2011-08,100,"50,1"
2011-09,100,"69,4"
2011-10,100,"52,9"
2011-11,100,"62,9"
2011-12,100,"67,5"
2012-01,100,"75,0"
2012-02,100,"76,8"
2012-03,100,"65,6"
2012-04,100,"71,3"
2012-05,100,"73,3"
2012-06,100,"79,9"
2012-07,100,"84,4"
2012-08,100,"85,5"
2012-09,100,"90,2"
2012-10,100,"78,0"
2012-11,100,"75,9"
2012-12,100,"69,4"
2013-01,100,"81,7"
2013-02,100,"80,7"
2013-03,100,"88,9"
2013-04,100,"86,8"
2013-05,100,"101,0"
2013-06,100,"100,6"
2013-07,100,"78,5"
2013-08,100,"66,3"
2013-09,100,"73,7"
2013-10,100,"67,5"
2013-11,100,"68,4"
2013-12,100,"78,6"
2014-01,100,"78,3"
2014-02,100,"85,9"
2014-03,100,"94,8"
2014-04,100,"82,7"
2014-05,100,"83,6"
2014-06,100,"101,8"
2014-07,100,"85,2"
2014-08,100,"86,6"
2014-09,100,"88,7"
2014-10,100,"75,9"
2014-11,100,"80,2"
2014-12,100,"86,7"
2015-01,100,"81,8"
2015-02,100,"91,5"
2015-03,100,"101,3"
2015-04,100,"85,4"
2015-05,100,"80,5"
2015-06,100,"107,1"
2015-07,100,"99,2"
2015-08,100,"104,6"
2015-09,100,"103,6"
2015-10,100,"108,9"
2015-11,100,"117,9"
2015-12,100,"113,5"
2016-01,100,"124,3"
2016-02,100,"118,4"
2016-03,100,"123,9"
2016-04,100,"131,0"
2016-05,100,"135,6"
2016-06,100,"135,7"
2016-07,100,"124,9"
2016-08,100,"129,8"
2016-09,100,"131,9"
2016-10,100,"144,3"
2016-11,100,"133,2"
2016-12,100,"127,7"
2017-01,100,"121,6"
2017-02,100,"125,8"
2017-03,100,"129,2"
2017-04,100,"126,6"
2017-05,100,"123,6"
2017-06,100,"121,3"
2017-07,100,"108,5"
2017-08,100,"106,1"
2017-09,100,"106,8"
2017-10,100,"125,3"
2017-11,100,"124,0"
2017-12,100,"137,0"
2018-01,100,"121,5"
2018-02,100,"112,4"
2018-03,100,"117,4"
2018-04,100,"116,4"
2018-05,100,"107,0"
2018-06,100,"104,1"
2018-07,100,"102,6"
2018-08,100,"87,3"
2018-09,100,"85,3"
2018-10,100,"92,1"
2018-11,100,"75,8"
2018-12,100,"80,1"
2019-01,100,"93,7"
2019-02,100,"90,4"
2019-03,100,"91,5"
2019-04,100,"96,9"
2019-05,100,"96,0"
2019-06,100,"82,4"
2019-07,100,"89,6"
2019-08,100,"90,9"
2019-09,100,"99,2"
2019-10,100,"86,9"
2019-11,100,"95,7"
2019-12,100,"88,1"
2020-01,100,"94,9"
2020-02,100,"75,3"
2020-03,100,"62,2"
2020-04,100,"44,4"
2020-05,100,"61,5"
2020-06,100,"77,8"
2020-07,100,"52,3"
2020-08,100,"43,8"
2020-09,100,"60,6"
2020-10,100,"47,2"
2020-11,100,"73,1"
2020-12,100,"95,4"
2021-01,100,"94,4"
2021-02,100,"106,8"
2021-03,100,"114,4"
2021-04,100,"115,8"
2021-05,100,"134,0"
2021-06,100,"131,8"
2021-07,100,"123,4"
2021-08,100,"121,4"
2021-09,100,"140,8"
2021-10,100,"130,0"
2021-11,100,"116,1"
2021-12,100,"121,6"
2022-01,100,"119,8"
2022-02,100,"107,5"
2022-03,100,"101,4"
2022-04,100,"105,2"
2022-05,100,"93,3"
2022-06,100,"93,6"
2022-07,100,"80,6"
2022-08,100,"88,0"
2022-09,100,"99,9"
2022-10,100,"92,6"
2022-11,100,"90,1"
2022-12,100,"98,6"
2023-01,100,"98,7"
2023-02,100,"94,2"
2023-03,100,"89,7"
2023-04,100,"78,7"
2023-05,100,"77,8"
2023-06,100,"81,1"
2023-07,100,"98,1"
2023-08,100,"98,0"
2023-09,100,"85,4"
2023-10,100,"74,2"
2023-11,100,"77,4"
2023-12,100,"82,4"
2024-01,100,"101,6"
2024-02,100,"90,6"
2024-03,100,"109,7"
2024-04,100,"100,7"
2024-05,100,"97,9"
2024-06,100,"75,4"
2024-07,100,"83,1"
2024-08,100,"69,9"
2024-09,100,"61,2"
2024-10,100,"90,9"
2024-11,100,"103,7"
2024-12,100,"115,7"
2025-01,100,"112,3"
2025-02,100,"112,5"
2025-03,100,"106,9"
2025-04,100,"92,8"
